item_id,level,recording_id,caption,classes_mentioned,other_sources,over_specific,notes
m-001,oracle,S-0288,"A continuous roar of a jet aircraft dominates this 38.7-second environmental recording, beginning just under a second into the clip and persisting until the end.",,,,
m-002,oracle,S-0499,"A 109-second environmental recording captures the roar of a jet aircraft, followed by two passing vehicles and a brief chorus of crows and seagulls.",,,,
m-003,oracle,S-0673,A brief mechanical hum from a fan or hairdryer is interrupted by the roar of passing jet aircraft before returning to the low mechanical sound at the end.,,,,
m-004,oracle,S-0087,"A chaotic soundscape unfolds as multiple instances of glass shattering interrupt a background music track, eventually giving way to workshop noises, human voices, and a brief burst of sirens.",,,,
m-005,oracle,S-0517,"A rhythmic sequence of church bells rings out over a quiet landscape, briefly interrupted by the chirping of birds before returning to a solemn, echoing cadence.",,,,
m-006,oracle,S-0537,"A rhythmic series of hammer strikes echoes through a workshop, punctuating the quiet air with sharp, metallic impacts.",,,,
m-007,oracle,S-0175,"A brief, 8.9-second audio clip captures three distinct bursts of intense cat fighting and moaning.",,,,
m-008,oracle,S-0319,A vehicle passes by before the scene is dominated by the wailing of sirens and alarms that persist for the majority of the recording.,,,,
m-009,oracle,S-0502,A rhythmic soundscape of church bells alternating with the steady rumble of passing vehicles.,,,,
m-010,oracle,S-0524,"A rhythmic series of hammer strikes echoes through a workshop, marking the steady progress of a crafting project.",,,,
m-011,oracle,S-0080,"A 150-second environmental recording captures the distant roar of jet aircraft overhead, punctuated by human voices, a dog's howl, and the rumble of a passing vehicle.",,,,
m-012,oracle,S-0185,"A continuous stream of passing vehicles and idling engines dominates this 128-second urban soundscape, punctuated briefly by the distant hum of a propeller aircraft.",,,,
m-013,oracle,S-0383,A brief 4.5-second environmental recording captures the sounds of a chicken coop between 1.35 and 3.97 seconds.,,,,
m-014,oracle,S-0681,A vehicle passes by briefly before the sound of jet aircrafts dominates the recording for over twenty seconds.,,,,
m-015,oracle,S-0070,"A brief vehicle passes by to reveal a lively soundscape of chirping birds, human voices, and barking dogs in a natural setting.",,,,
m-016,oracle,S-0385,"A rhythmic soundscape of a rural farm features alternating bursts of clucking chickens and the persistent, buzzing chorus of cicadas and crickets.",,,,
m-017,oracle,S-0259,"A continuous train rumble dominates this 47-second environmental recording, starting shortly after the first second and persisting until the end.",,,,
m-018,oracle,S-0196,"A peaceful rural scene unfolds with intermittent chicken coop sounds and distant dog barks, underscored by a continuous melody and brief moments of human voices.",,,,
m-019,oracle,S-0320,"A recording of intermittent sirens and alarms, with the first burst lasting from 0.24 to 14.69 seconds and a second burst occurring between 17.42 and 27.06 seconds.",,,,
m-020,oracle,S-0400,"A rhythmic chorus of cicadas and crickets fills the air in this two-minute environmental recording, punctuating the quiet with repeated bursts of insect song.",,,,
m-021,oracle,S-0161,"A continuous stream of urban traffic noise, featuring multiple vehicles passing by and idling, punctuated by brief moments of human voices and honking horns.",,,,
m-022,oracle,S-0186,"A brief moment of human voices fades quickly into a continuous stream of passing vehicles, punctuated by a car horn and a period of idling traffic.",,,,
m-023,oracle,S-0007,"In a bustling workshop filled with early chatter, the steady rhythm of passing vehicles gradually takes over the soundscape.",,,,
m-024,oracle,S-0042,"A 4-minute environmental recording captures a dynamic urban soundscape, transitioning from distant sirens and jet aircraft to the rhythmic rumble of passing trains and idling vehicles, all punctuated by intermittent calls from local birds.",,,,
m-025,oracle,S-0191,A 195-second environmental recording captures five distinct intervals of music playing amidst the ambient soundscape.,,,,
m-026,oracle,S-0432,"A 39.7-second environmental recording captures intermittent bursts of workshop activity, with distinct periods of machinery noise occurring at the beginning, middle, and end of the clip.",,,,
m-027,oracle,S-0435,"A continuous, mechanical whirring sound, likely from a vacuum cleaner fan or hairdryer, dominates the audio from the first second until the end of the twelve-second clip.",,,,
m-028,oracle,S-0222,"A continuous train rumble dominates this 53-second environmental recording, starting shortly after the first second and persisting until the end.",,,,
m-029,oracle,S-0419,A continuous stream of idling and passing vehicles is interrupted by the distant roar of a jet aircraft flying overhead.,,,,
m-030,oracle,S-0590,"A continuous chorus of cicadas and crickets is interrupted by the distant, rhythmic hum of a passing propeller aircraft.",,,,
m-031,e2e,S-0296,A 159-second environmental recording captures a continuous background music track punctuated by intermittent human voices and the passing sounds of vehicles.,,,,
m-032,e2e,S-0008,"A continuous stream of traffic noise, including passing vehicles, idling engines, and a distant train, is punctuated by brief moments of human voices, a lawn mower, a dog barking, a car horn, and a final loud gunshot.",,,,
m-033,e2e,S-0537,"A brief soundscape captures the rhythmic hum of a workshop, punctuated by the roar of passing vehicles and the distinct whir of a lawn mower before settling back into mechanical noise.",,,,
m-034,e2e,S-0473,An 18.8-second environmental recording captures the continuous sounds of a workshop from 1.38 seconds to 16.78 seconds.,,,,
m-035,e2e,S-0564,"A continuous chorus of cicadas and crickets is interrupted by a brief, distant sound of a workshop.",,,,
m-036,e2e,S-0042,"A bustling urban soundscape captures the rhythmic interplay of passing vehicles, distant jet aircraft, and a long-drawn train, punctuated by intermittent sirens and the persistent chirping of birds.",,,,
m-037,e2e,S-0353,"A brief moment of nature and urban noise unfolds as birds sing and a vehicle passes, interrupted by a sudden gunshot, before the steady rumble of a train dominates the final twenty seconds.",,,,
m-038,e2e,S-0277,A vehicle passes by and idles briefly before the recording concludes with the chirping of birds.,,,,
m-039,e2e,S-0040,"A lively outdoor scene unfolds with intermittent human voices, chirping birds, and the rhythmic hum of passing vehicles and lawn equipment.",,,,
m-040,e2e,S-0105,"A brief recording captures a mix of human voices, passing vehicles, and the distinctive hum of propeller aircraft, concluding with sounds from a nearby workshop.",,,,
m-041,e2e,S-0149,A gentle sequence of church bells rings softly for over seven seconds in a quiet outdoor setting.,,,,
m-042,e2e,S-0230,"A vehicle passes by briefly before a train rumbles through the scene, punctuated by chirping birds and ending with a sudden thunder or gunshot.",,,,
m-043,e2e,S-0431,"A 50-second environmental recording captures the rhythmic interplay of distant workshop machinery, intermittent passing vehicles, and the continuous roar of jet aircraft overhead.",,,,
m-044,e2e,S-0070,"A 126-second environmental recording captures a lively outdoor scene where continuous bird song is punctuated by passing vehicles, human voices, and intermittent dog barks.",,,,
m-045,e2e,S-0568,"A 22.8-second environmental recording captures the persistent chirping of cicadas and crickets, briefly interrupted by human voices before returning to the natural insect chorus.",,,,
m-046,e2e,S-0103,A 6-minute environmental recording captures a dynamic soundscape where intermittent bird calls and distant human voices are frequently interrupted by the prolonged roar of propeller aircraft and brief bursts of jet engines.,,,,
m-047,e2e,S-0711,"A one-minute-plus environmental recording captures a dynamic soundscape where frequent calls from crows, seagulls, and magpies are punctuated by the roar of propeller aircraft, passing vehicles, and distant human voices.",,,,
m-048,e2e,S-0159,A brief moment of natural quiet is briefly interrupted by the chirping of birds between the fourth and seventh seconds of this 26.5-second environmental recording.,,,,
m-049,e2e,S-0011,"A lively outdoor scene unfolds with initial dog barks and human voices, punctuated by passing vehicles, a jet aircraft roaring overhead, and intermittent music playing in the background.",,,,
m-050,e2e,S-0241,"A vehicle passes by while a horn blares, followed by the rumble of a train arriving.",,,,
m-051,e2e,S-0086,"Amidst the chirping of birds, a chaotic sequence of glass shattering erupts repeatedly, punctuated by the sudden boom of thunder or fireworks.",,,,
m-052,e2e,S-0521,"A 33-second environmental recording captures three distinct bursts of crows, seagulls, and magpies calling out at intervals throughout the clip.",,,,
m-053,e2e,S-0600,A continuous drone from a propeller aircraft is punctuated by intermittent human voices throughout the 27-second recording.,,,,
m-054,e2e,S-0387,"A rural soundscape features the persistent buzz of cicadas and crickets, punctuated by distant explosions from fireworks or gunfire and intermittent clucking from a nearby chicken coop.",,,,
m-055,e2e,S-0414,"A 3-minute environmental recording captures a dynamic urban soundscape where the rhythmic chirping of birds and distant train rumble are punctuated by the roar of passing vehicles, propeller and jet aircraft, and intermittent sirens and dog barks.",,,,
m-056,e2e,S-0123,"A continuous, rhythmic hum of a lawn mower or brush cutter dominates this 169-second environmental recording, starting shortly after the initial silence.",,,,
m-057,e2e,S-0656,"A continuous hum of a vacuum cleaner or fan dominates this 110-second recording, briefly interrupted by passing vehicles and chirping birds.",,,,
m-058,e2e,S-0130,"A continuous, rhythmic hum of a lawn mower or brush cutter dominates this 61-second environmental recording, with no other distinct sounds detected.",,,,
m-059,e2e,S-0436,"A high-pitched, mechanical whirring sound, characteristic of a vacuum cleaner or hairdryer, starts briefly, pauses, and then resumes in intermittent bursts throughout the 80-second recording.",,,,
m-060,e2e,S-0582,"A serene natural soundscape features a long, continuous chorus of birds singing from 4.7 to 53.5 seconds and again from 60.0 to the end, punctuated by intermittent bursts of cicada and cricket chirping throughout the 93-second recording.",,,,
